CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Avg_Utilization_Ratio,Pay_on_time,Random_numbers
708242283,no,29,male,1,third level,single,51 – 70k,blue,36,5346.00,0.000,yes,0.0343653649593106
708243483,no,53,male,3,third level,married/living with partner,111k+,blue,43,14938.00,0.077,no,0.616796220359244
708245808,no,35,male,3,third level,married/living with partner,51 – 70k,blue,36,19671.00,0.047,no,0.484710527435373
708249708,no,48,female,1,third level,married/living with partner,<30k,blue,39,4844.00,0.325,no,0.364080107095999
708252108,no,64,male,0,third level,single,31 – 50k,blue,53,7362.00,0.259,no,0.406638731968635
708254733,no,41,female,4,third level,single,<30k,blue,36,2968.00,0.631,no,0.842498509443172
708255633,no,36,male,1,third level,single,71 – 110k,blue,27,3761.00,0.455,no,0.343648794877288
708260208,no,43,female,5,primary,single,<30k,blue,36,2057.00,0.622,no,0.732877329493688
708266883,yes,34,female,2,third level,single,<30k,blue,36,1666.00,0.000,yes,0.868323844521976
708267858,no,65,female,0,secondary,married/living with partner,31 – 50k,blue,36,6088.00,0.352,no,0.852440265638181
708269583,no,42,female,3,primary,divorced,<30k,blue,28,2029.00,0.679,no,0.49054187007004
708271833,no,42,male,3,third level,single,31 – 50k,gold,36,15069.00,0.122,no,0.190551300860033
708272808,no,45,male,5,third level,single,<30k,blue,36,2718.00,0.542,no,0.817076764758338
708273858,no,40,male,3,third level,divorced,111k+,blue,30,34516.00,0.000,yes,0.361213518851089
708276183,yes,52,female,3,third level,married/living with partner,<30k,blue,45,1760.00,0.000,yes,0.402267951874302
708281433,no,57,female,2,third level,married/living with partner,<30k,blue,36,1438.30,0.000,yes,0.796321644778599
708285108,no,42,male,4,third level,single,31 – 50k,blue,36,6128.00,0.365,no,0.466223927330155
708286683,no,57,male,2,primary,single,71 – 110k,blue,43,12045.00,0.145,no,0.645308015613417
708288108,yes,43,male,4,third level,#NULL!,71 – 110k,blue,30,5639.00,0.274,no,0.836312724897375
708290208,no,43,female,3,secondary,married/living with partner,<30k,gold,31,13608.00,0.087,no,0.869136800470312
708292833,no,35,male,2,secondary,single,111k+,blue,36,27389.00,0.046,no,0.0931822217215901
708295533,no,65,female,0,third level,married/living with partner,<30k,blue,56,3549.00,0.530,no,0.669817850974598
708296883,no,44,female,3,third level,single,31 – 50k,blue,38,11749.00,0.067,no,0.188085903116974
708298233,yes,49,female,3,third level,married/living with partner,<30k,blue,37,6184.00,0.000,yes,0.815051321717263
708301683,yes,40,male,2,primary,married/living with partner,71 – 110k,blue,30,20798.00,0.051,no,0.0859267457594682
708303108,no,50,female,2,third level,married/living with partner,<30k,blue,42,1770.00,0.964,no,0.626060979379026
708307533,no,42,male,2,primary,married/living with partner,51 – 70k,blue,30,3086.00,0.000,yes,0.71182245032759
708319908,yes,37,male,3,third level,single,71 – 110k,blue,17,4116.00,0.358,no,0.823925775639979
708323208,yes,49,female,3,primary,married/living with partner,<30k,blue,36,1522.00,0.000,yes,0.479822638045828
708330858,yes,57,male,3,third level,married/living with partner,111k+,blue,38,8249.00,0.167,no,0.881973594038832
708331758,no,47,female,2,primary,divorced,#NULL!,gold,35,32444.00,0.057,no,0.871156698468113
708332808,no,47,male,2,primary,married/living with partner,31 – 50k,blue,39,3471.00,0.000,yes,0.414235923357085
708334158,no,46,female,3,third level,divorced,<30k,blue,34,9863.00,0.070,no,0.193346275246016
708337683,no,51,male,2,primary,single,51 – 70k,blue,40,21800.00,0.041,no,0.882409536610819
708338958,no,58,female,1,third level,single,<30k,blue,36,3173.00,0.540,no,0.266910038167342
708340758,yes,41,male,4,secondary,married/living with partner,<30k,blue,32,7769.00,0.000,yes,0.76075378865783
708341958,no,31,female,1,third level,divorced,<30k,blue,21,2061.00,0.924,no,0.0449656040340598
708347583,no,37,female,4,primary,married/living with partner,<30k,blue,36,2509.00,0.456,no,0.0655160750146246
708358683,no,46,male,2,third level,married/living with partner,71 – 110k,gold,35,34516.00,0.036,no,0.547885958573073
708360108,no,50,male,1,third level,single,31 – 50k,blue,41,2800.00,0.478,no,0.740457753950689
708361833,no,44,male,4,third level,married/living with partner,71 – 110k,blue,36,19430.00,0.000,yes,0.155575053846485
708367908,no,56,female,1,primary,married/living with partner,<30k,blue,47,3022.00,0.538,no,0.173365505913312
708369633,yes,34,female,3,third level,married/living with partner,<30k,blue,36,15487.00,0.119,no,0.973822097545765
708371733,no,41,female,3,secondary,married/living with partner,<30k,blue,15,4662.00,0.000,yes,0.808072941761566
708375858,no,47,female,4,secondary,divorced,<30k,blue,36,2776.00,0.483,no,0.398081534297263
708378108,no,39,female,1,third level,married/living with partner,31 – 50k,blue,36,2147.00,0.359,no,0.862366657908568
708382083,no,49,male,5,secondary,married/living with partner,71 – 110k,blue,36,2292.00,0.000,yes,0.0502657230458258
708384033,yes,45,female,3,primary,married/living with partner,<30k,blue,35,2745.00,0.897,no,0.97107169367789
708385533,yes,49,female,1,third level,married/living with partner,<30k,gold,36,11059.00,0.000,yes,0.486739221330538
708387933,no,49,female,2,third level,married/living with partner,<30k,blue,37,5500.00,0.000,yes,0.428943068631342
708390633,no,52,female,3,third level,married/living with partner,<30k,blue,44,2421.00,0.955,no,0.272785773343386
708393633,no,41,female,0,secondary,married/living with partner,<30k,blue,31,2685.00,0.613,no,0.144886277502953
708394908,no,44,male,0,secondary,single,31 – 50k,blue,33,2337.00,0.617,no,0.805140127279279
708396033,no,45,female,2,primary,married/living with partner,<30k,blue,27,2490.00,0.425,no,0.0802453735462162
708398283,no,37,female,1,third level,married/living with partner,31 – 50k,blue,29,4394.00,0.201,no,0.145730139235375
708399858,no,45,female,3,secondary,married/living with partner,<30k,blue,35,2548.00,0.883,no,0.806087488528648
708412758,yes,33,female,3,third level,single,<30k,blue,36,1457.00,0.000,yes,0.397304021970592
708414033,no,50,male,4,third level,married/living with partner,31 – 50k,blue,38,2845.00,0.405,no,0.316059359149838
708416433,yes,41,female,1,secondary,single,<30k,blue,36,2372.00,0.000,yes,0.624772137825866
708419733,yes,47,male,3,third level,single,51 – 70k,blue,39,22599.00,0.000,yes,0.534283760306348
708421833,no,45,female,4,third level,single,<30k,blue,36,3342.00,0.753,no,0.813819558802362
708423933,no,51,male,2,third level,single,31 – 50k,blue,40,6103.00,0.000,yes,0.930835077580844
708426483,no,56,female,2,third level,single,<30k,blue,36,5816.00,0.123,no,0.111205090243058
708431433,no,41,male,3,third level,married/living with partner,111k+,blue,31,11789.00,0.120,no,0.826618679946346
708433683,no,54,male,2,third level,married/living with partner,71 – 110k,blue,37,3164.00,0.696,no,0.985189436043118
708434733,no,56,male,1,third level,married/living with partner,51 – 70k,blue,50,6735.00,0.340,no,0.272482256206754
708445608,no,48,male,3,third level,married/living with partner,<30k,blue,37,3305.00,0.762,no,0.257859331744236
708446808,no,33,male,1,third level,married/living with partner,71 – 110k,blue,36,2946.00,0.461,no,0.884539950598055
708447858,no,59,female,2,primary,married/living with partner,<30k,blue,36,3850.00,0.000,yes,0.116547848315761
708453408,no,40,male,4,third level,divorced,71 – 110k,blue,31,16050.00,0.000,yes,0.109305450736164
708455883,yes,57,male,1,third level,single,71 – 110k,blue,36,10244.00,0.084,no,0.290548888014677
708459633,no,38,male,2,secondary,married/living with partner,51 – 70k,blue,26,5815.00,0.292,no,0.0881399703653402
708462258,no,51,female,1,secondary,married/living with partner,<30k,blue,38,5189.00,0.226,no,0.26060065056794
708472008,no,44,female,3,primary,married/living with partner,<30k,blue,36,6680.00,0.275,no,0.237700085826507
708473133,no,55,female,1,third level,married/living with partner,<30k,blue,45,1677.00,0.000,yes,0.635522199406019
708474333,no,42,male,3,third level,married/living with partner,51 – 70k,blue,29,12294.00,0.205,no,0.361987208708082
708478233,no,48,female,3,third level,married/living with partner,31 – 50k,blue,36,5573.00,0.222,no,0.958990990984346
708482658,no,41,male,3,third level,married/living with partner,71 – 110k,blue,31,9959.00,0.195,no,0.259331762886534
708488208,no,57,female,3,primary,married/living with partner,<30k,blue,47,2515.00,0.764,no,0.672643425065276
708489258,no,40,female,3,third level,married/living with partner,<30k,blue,27,1438.30,0.687,no,0.920753775606796
708494583,no,49,female,3,primary,divorced,<30k,blue,36,1902.00,0.000,yes,0.491764635348367
708496833,yes,60,male,1,secondary,single,<30k,blue,50,4613.00,0.000,yes,0.754884555204201
708499608,no,49,male,5,third level,single,31 – 50k,gold,36,15525.00,0.084,no,0.450867391250731
708500883,no,48,male,2,primary,single,31 – 50k,gold,40,17812.00,0.000,yes,0.485022939282436
708501783,yes,43,male,2,secondary,married/living with partner,111k+,blue,36,34516.00,0.043,no,0.139695208974051
708502908,no,61,male,2,secondary,single,51 – 70k,gold,48,26218.00,0.000,yes,0.602055820706296
708506508,no,54,male,3,secondary,married/living with partner,111k+,blue,43,2884.00,0.397,no,0.248307089626831
708507483,no,43,female,3,third level,divorced,<30k,blue,31,1477.00,0.000,yes,0.807515799275515
708508758,yes,62,female,0,third level,married/living with partner,<30k,blue,49,1438.30,0.000,yes,0.740086904946182
708510858,no,60,female,1,primary,single,<30k,blue,47,4905.00,0.492,no,0.682180486747306
708511983,no,37,male,3,third level,married/living with partner,71 – 110k,blue,18,1663.00,0.000,yes,0.745455118004379
708513183,no,39,male,1,primary,married/living with partner,31 – 50k,blue,29,4323.00,0.293,no,0.0892645250686439
708515358,no,40,female,1,secondary,married/living with partner,<30k,blue,36,4712.00,0.000,yes,0.362193487184624
708516558,no,37,female,2,secondary,married/living with partner,<30k,blue,36,2588.00,0.689,no,0.893921128304984
708522033,no,50,male,2,third level,married/living with partner,51 – 70k,blue,36,12299.00,0.135,no,0.522525865841071
708532308,no,37,male,2,primary,single,51 – 70k,blue,36,11419.00,0.220,no,0.453767103137245
708534033,no,45,female,3,third level,single,31 – 50k,blue,36,6274.00,0.141,no,0.3554871619429
708535158,no,39,male,2,third level,#NULL!,71 – 110k,blue,29,9959.00,0.151,no,0.0515314775331892
708536283,yes,35,male,1,third level,single,71 – 110k,blue,27,2904.00,0.867,no,0.133021017770715
708542283,no,58,female,1,third level,married/living with partner,<30k,blue,47,2495.00,0.826,no,0.921105585814354
708543258,no,36,male,3,secondary,married/living with partner,71 – 110k,blue,36,2607.00,0.721,no,0.38604115202071
708545058,no,45,female,2,third level,single,31 – 50k,blue,36,1438.30,0.686,no,0.829471045669502
708549033,no,50,female,1,secondary,married/living with partner,<30k,blue,32,2055.00,0.621,no,0.57006055305547
708551508,no,51,female,2,third level,single,<30k,blue,37,3264.00,0.768,no,0.998827671118926
708553008,no,38,female,1,secondary,single,31 – 50k,blue,36,2148.00,0.514,no,0.733131975598389
708555633,no,32,female,1,secondary,single,<30k,blue,16,3548.00,0.709,no,0.469224367327251
708557358,no,43,male,2,third level,married/living with partner,51 – 70k,blue,28,22157.00,0.061,no,0.227903378307162
708558408,no,50,male,3,secondary,single,31 – 50k,blue,31,9949.00,0.161,no,0.307593219613549
708559533,no,40,male,1,primary,married/living with partner,71 – 110k,blue,36,1770.00,0.330,no,0.842835479283287
708560733,no,42,female,3,third level,divorced,<30k,blue,36,3714.00,0.678,no,0.288374928705524
708564858,yes,33,male,2,third level,married/living with partner,111k+,blue,20,34516.00,0.000,yes,0.790344055668419
708568983,no,40,male,3,secondary,married/living with partner,51 – 70k,blue,28,11476.00,0.206,no,0.256115991928693
708572658,no,49,male,5,third level,married/living with partner,51 – 70k,gold,38,29531.00,0.071,no,0.860500700304281
708575058,yes,46,female,3,primary,divorced,31 – 50k,blue,39,3157.00,0.306,no,0.275513856038982
708580908,no,56,male,3,secondary,married/living with partner,51 – 70k,blue,37,14551.00,0.173,no,0.936863643351798
708582858,no,38,male,3,third level,single,51 – 70k,blue,25,18293.00,0.000,yes,0.0943667158316179
708585933,no,44,female,4,secondary,single,<30k,blue,36,1656.00,0.863,no,0.0394685473607881
708588408,no,53,male,3,primary,single,51 – 70k,blue,36,6836.00,0.235,no,0.456730091133296
708593883,no,39,male,2,third level,married/living with partner,51 – 70k,blue,26,2731.00,0.576,no,0.56134533677346
708595158,no,27,female,0,third level,single,<30k,blue,36,1677.00,0.953,no,0.721540061281935
708596283,no,35,female,3,primary,single,<30k,blue,23,2858.00,0.438,no,0.925364407694323
708597558,no,42,male,3,secondary,single,51 – 70k,blue,36,3337.00,0.238,no,0.424628416019027
708600033,no,46,male,2,third level,married/living with partner,31 – 50k,blue,39,1610.00,0.000,yes,0.641763950639511
708606633,yes,56,female,3,third level,married/living with partner,31 – 50k,blue,44,1544.00,0.000,yes,0.124243229457992
708614058,no,56,female,2,third level,divorced,<30k,blue,45,1960.00,0.862,no,0.52828108631892
708618933,no,34,male,2,primary,single,111k+,blue,13,4369.00,0.469,no,0.820139145682029
708623283,no,35,male,2,primary,single,51 – 70k,blue,16,18278.00,0.000,yes,0.236801129710184
708626058,no,49,female,2,primary,married/living with partner,<30k,blue,34,5242.00,0.279,no,0.519437054242621
708633783,yes,43,male,3,primary,single,71 – 110k,blue,30,11336.00,0.000,yes,0.189975264646143
708635058,no,53,female,0,secondary,single,<30k,blue,44,1904.00,0.465,no,0.35668172069381
708644208,no,39,female,2,third level,single,31 – 50k,blue,34,5858.00,0.000,yes,0.950860043466171
708649683,no,51,male,2,secondary,single,51 – 70k,blue,42,16703.00,0.068,no,0.209010763367238
708651933,no,56,male,2,third level,married/living with partner,51 – 70k,blue,44,2043.00,0.944,no,0.209368055503133
708652908,no,47,female,5,primary,married/living with partner,<30k,blue,36,2291.00,0.619,no,0.476089839931514
708653958,yes,38,male,3,third level,married/living with partner,51 – 70k,blue,36,6114.00,0.239,no,0.572297869155853
708654933,yes,51,female,2,third level,married/living with partner,<30k,gold,42,15987.00,0.012,no,0.907228910580032
708657033,no,60,female,2,third level,single,<30k,blue,54,2694.00,0.714,no,0.282307564121667
708660408,yes,40,female,1,third level,married/living with partner,31 – 50k,blue,36,1737.00,0.972,no,0.93135425450455
708664008,no,57,male,3,third level,married/living with partner,71 – 110k,blue,45,14270.00,0.000,yes,0.475507123795894
708665133,no,40,male,2,third level,married/living with partner,71 – 110k,blue,28,3654.00,0.321,no,0.0144391077225861
708668283,no,39,male,2,third level,married/living with partner,71 – 110k,blue,22,5140.00,0.490,no,0.329674206333367
708669408,no,54,male,5,third level,single,51 – 70k,blue,45,20401.00,0.000,yes,0.88547891917617
708671733,no,48,male,4,third level,married/living with partner,51 – 70k,blue,36,2072.00,0.723,no,0.763444195420029
708680583,no,53,female,1,third level,married/living with partner,31 – 50k,blue,36,2043.00,0.778,no,0.13202366073692
708684108,yes,46,female,4,third level,married/living with partner,31 – 50k,blue,34,4152.00,0.348,no,0.938755986344959
708687483,yes,54,female,4,third level,single,<30k,gold,36,13626.00,0.000,yes,0.132693606129474
708688608,no,62,female,1,secondary,married/living with partner,<30k,blue,48,3140.00,0.632,no,0.572172942982955
708692583,yes,44,female,2,secondary,single,<30k,blue,31,1506.00,0.112,no,0.433327977346746
708693558,no,50,female,3,secondary,single,<30k,gold,38,12569.00,0.172,no,0.842085734958181
708697983,no,56,male,0,secondary,#NULL!,111k+,blue,49,34516.00,0.062,no,0.683659699182278
708699108,no,39,female,2,secondary,single,<30k,blue,36,1438.30,0.594,no,0.553159366177724
708701358,no,39,female,2,primary,single,<30k,blue,36,2370.00,0.857,no,0.470548265422004
708705783,yes,47,male,3,third level,married/living with partner,51 – 70k,blue,36,1584.00,0.766,no,0.338026827975466
708707808,no,57,male,2,third level,#NULL!,51 – 70k,blue,45,2480.00,0.639,no,0.956484929097122
708708858,yes,50,female,1,third level,single,<30k,blue,36,2422.00,0.207,no,0.672464112604004
708710283,no,45,male,5,third level,married/living with partner,111k+,gold,36,34516.00,0.059,no,0.677907249514138
708712833,no,45,female,5,third level,married/living with partner,<30k,blue,36,2289.00,0.453,no,0.520656019952265
708714108,no,42,female,3,secondary,single,<30k,gold,31,13441.00,0.187,no,0.165774518958374
708720558,no,44,male,3,third level,married/living with partner,51 – 70k,blue,30,4489.00,0.000,yes,0.652093417605657
708721533,no,56,female,1,third level,married/living with partner,<30k,blue,36,5158.00,0.223,no,0.473876000260566
708722583,no,39,female,4,primary,single,<30k,blue,36,2609.00,0.635,no,0.816241851565999
708723858,no,48,female,4,third level,single,<30k,blue,37,3413.00,0.502,no,0.554781367295186
708724908,no,47,female,2,secondary,single,<30k,blue,35,2262.00,0.000,yes,0.310942630846002
708726708,yes,42,female,3,third level,single,31 – 50k,blue,36,1451.00,0.413,no,0.0794368374279374
708727983,no,62,male,0,primary,single,51 – 70k,blue,36,3933.00,0.000,yes,0.924702168456918
708731658,yes,53,female,0,secondary,married/living with partner,<30k,blue,41,1438.30,0.000,yes,0.479733638471176
708733983,yes,50,female,1,third level,single,31 – 50k,blue,36,5349.00,0.447,no,0.765934360411209
708735183,no,35,female,2,secondary,married/living with partner,<30k,blue,22,2544.00,0.726,no,0.331045478335755
708736608,yes,40,male,3,third level,married/living with partner,111k+,blue,27,2269.00,0.000,yes,0.159884571033905
708740808,no,45,male,4,third level,married/living with partner,31 – 50k,blue,36,4112.00,0.000,yes,0.422190954413117
708741633,no,52,male,4,secondary,married/living with partner,51 – 70k,blue,44,4153.00,0.000,yes,0.390301768693127
708744933,no,35,male,2,secondary,married/living with partner,51 – 70k,blue,36,19127.00,0.098,no,0.235483394699919
708747708,no,43,male,3,third level,married/living with partner,71 – 110k,blue,33,3498.00,0.000,yes,0.273802122712887
708748833,no,37,female,3,third level,single,31 – 50k,blue,25,9875.00,0.125,no,0.29743687535763
708753633,no,45,female,3,third level,married/living with partner,31 – 50k,blue,32,1438.30,0.000,yes,0.964640950823223
708757233,no,44,female,2,secondary,married/living with partner,<30k,blue,32,2485.00,0.599,no,0.141042513480885
708758658,no,49,male,4,third level,married/living with partner,71 – 110k,blue,39,34516.00,0.016,no,0.126624659116659
708759408,no,48,female,3,primary,single,31 – 50k,blue,39,4207.00,0.000,yes,0.232266903658374
708760458,no,47,male,1,secondary,single,71 – 110k,blue,36,17655.00,0.000,yes,0.388241253376088
708765933,no,46,male,2,third level,married/living with partner,51 – 70k,blue,36,5464.00,0.162,no,0.126501239878811
708768258,no,51,female,4,third level,married/living with partner,<30k,blue,43,2066.00,0.521,no,0.0788592211372567
708770883,no,43,male,2,primary,married/living with partner,71 – 110k,blue,24,16667.00,0.088,no,0.544808809214215
708772308,no,41,male,3,primary,married/living with partner,71 – 110k,blue,24,4119.00,0.402,no,0.575391823484345
708773583,no,52,female,3,third level,#NULL!,31 – 50k,blue,45,10859.00,0.157,no,0.305587104933082
708774708,no,47,female,4,third level,#NULL!,31 – 50k,blue,29,2636.00,0.603,no,0.390983634367874
708780783,no,43,female,3,third level,single,31 – 50k,blue,33,2434.00,0.480,no,0.849708847538201
708784083,no,47,female,3,primary,single,<30k,blue,36,2723.00,0.583,no,0.73858109030102
708793008,yes,46,male,3,third level,divorced,71 – 110k,blue,35,9949.00,0.000,yes,0.906591150265414
708796458,no,30,female,2,third level,single,<30k,blue,18,4199.00,0.453,no,0.0605820490514225
708799983,yes,40,male,1,third level,married/living with partner,51 – 70k,blue,36,18386.00,0.048,no,0.220675492737828
708801108,yes,57,female,3,primary,single,<30k,blue,51,1438.30,0.000,yes,0.839580474945432
708804633,yes,44,female,2,third level,divorced,<30k,blue,36,1916.00,0.000,yes,0.724913472278415
708805908,yes,30,male,2,third level,married/living with partner,<30k,gold,18,10017.00,0.072,no,0.908518010526091
708807483,no,51,female,3,third level,married/living with partner,31 – 50k,blue,45,9117.00,0.138,no,0.489328628081959
708809283,yes,41,female,4,third level,divorced,31 – 50k,blue,33,10360.00,0.243,no,0.866566106993271
708811233,no,37,male,2,third level,married/living with partner,71 – 110k,blue,27,12702.00,0.158,no,0.257056370830457
708813033,no,47,male,1,third level,single,31 – 50k,blue,36,6509.00,0.312,no,0.125012619441834
708816408,no,41,male,4,primary,single,71 – 110k,blue,32,21756.00,0.000,yes,0.473702977716676
708820308,no,47,male,3,third level,#NULL!,71 – 110k,blue,36,13399.00,0.187,no,0.153426232556714
708822783,no,53,female,2,secondary,single,<30k,blue,36,2973.00,0.847,no,0.302482647522875
708823908,no,41,male,3,third level,single,51 – 70k,blue,28,16443.00,0.083,no,0.953255928813745
708824958,no,50,female,4,secondary,single,<30k,blue,42,1460.00,0.000,yes,0.651083581835079
708826158,no,45,female,4,primary,divorced,31 – 50k,blue,27,3670.00,0.459,no,0.553880533249714
708828258,no,55,male,2,third level,married/living with partner,111k+,blue,37,32641.00,0.048,no,0.232463446475103
708829758,no,41,male,2,secondary,married/living with partner,51 – 70k,blue,36,6062.00,0.126,no,0.375094856230235
708831858,yes,43,female,3,primary,married/living with partner,<30k,blue,30,4579.00,0.329,no,0.291014344847224
708833133,no,40,female,3,third level,divorced,<30k,blue,29,3170.00,0.794,no,0.989205393611882
708834483,yes,46,male,2,third level,married/living with partner,71 – 110k,blue,29,17667.00,0.000,yes,0.077437404521556
708841233,yes,41,male,2,third level,married/living with partner,71 – 110k,blue,33,14682.00,0.171,no,0.223984881450924
708846183,no,48,male,4,third level,single,51 – 70k,blue,30,3307.00,0.676,no,0.0570315618508952
708848208,no,52,male,3,primary,single,71 – 110k,blue,40,34516.00,0.051,no,0.220659777237554
708849858,no,44,male,3,third level,single,111k+,blue,35,14028.00,0.102,no,0.949646340469306
708856983,yes,36,male,3,third level,married/living with partner,111k+,blue,27,13873.00,0.000,yes,0.619307462470522
708859158,no,47,female,4,third level,single,31 – 50k,blue,37,1438.30,0.489,no,0.738604880235299
708860358,no,38,male,3,secondary,married/living with partner,71 – 110k,blue,22,6361.00,0.109,no,0.263595950190334
708862233,no,44,female,4,third level,married/living with partner,31 – 50k,blue,30,4068.00,0.000,yes,0.774614207195179
708864708,no,46,male,3,third level,#NULL!,71 – 110k,blue,36,24869.00,0.070,no,0.0788784227977997
708866133,no,43,male,3,third level,married/living with partner,71 – 110k,blue,32,4196.00,0.317,no,0.494555810975455
708867408,yes,52,male,2,secondary,married/living with partner,51 – 70k,blue,40,23128.00,0.085,no,0.232912847012343
708868233,yes,68,male,0,secondary,married/living with partner,<30k,blue,52,1438.30,0.626,no,0.817881252190387
708869283,no,50,male,4,secondary,married/living with partner,71 – 110k,blue,41,23209.00,0.056,no,0.414580182235682
